epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7333,1.21207,3.37438,1.22027,0.2592,0.33856,0.20155,0.14744,1.02062,2.28685,1.17564,0.000157968,0.000157968,0.000157968
2,37.9137,1.20787,2.27857,1.20995,0.38181,0.36144,0.28177,0.21211,1.03005,1.93504,1.16401,0.000310365,0.000310365,0.000310365
3,55.03,1.20766,2.07682,1.20715,0.35757,0.41965,0.31299,0.2386,1.04367,1.95938,1.18677,0.000456479,0.000456479,0.000456479
4,71.6065,1.21996,1.96304,1.21539,0.44463,0.48076,0.39979,0.31176,1.01486,1.70542,1.15045,0.000447726,0.000447726,0.000447726
5,88.1811,1.18492,1.77558,1.20175,0.53777,0.46531,0.48737,0.39288,0.98703,1.47446,1.13721,0.000438301,0.000438301,0.000438301
6,104.696,1.18441,1.64724,1.19462,0.55899,0.49152,0.54022,0.44311,0.97015,1.46148,1.12077,0.000428876,0.000428876,0.000428876
7,121.196,1.14647,1.53831,1.17295,0.66645,0.52861,0.59144,0.47833,0.97009,1.27034,1.12272,0.000419451,0.000419451,0.000419451
8,137.714,1.13089,1.4686,1.16759,0.7255,0.52384,0.59962,0.48589,0.96088,1.2028,1.09459,0.000410026,0.000410026,0.000410026
9,154.221,1.12972,1.39933,1.16005,0.69655,0.57044,0.63719,0.52051,0.94467,1.18773,1.10911,0.000400602,0.000400602,0.000400602
10,170.708,1.12287,1.36147,1.16178,0.67807,0.55922,0.61457,0.49869,0.93588,1.17958,1.09789,0.000391177,0.000391177,0.000391177
11,187.292,1.09419,1.29585,1.14003,0.75867,0.58842,0.68443,0.56731,0.92914,1.09608,1.08015,0.000381752,0.000381752,0.000381752
12,204.178,1.09143,1.25285,1.14931,0.74686,0.58499,0.66296,0.54163,0.92943,1.07201,1.08143,0.000372327,0.000372327,0.000372327
13,220.645,1.06856,1.21057,1.13412,0.80282,0.60364,0.70945,0.58395,0.91863,0.98322,1.0754,0.000362902,0.000362902,0.000362902
14,237.23,1.08542,1.19152,1.1304,0.81285,0.62869,0.72002,0.58498,0.93785,0.96179,1.10154,0.000353478,0.000353478,0.000353478
15,253.898,1.06726,1.16301,1.13435,0.83323,0.63653,0.73282,0.60468,0.90827,0.92959,1.06803,0.000344053,0.000344053,0.000344053
16,270.403,1.04444,1.14063,1.12799,0.82426,0.62178,0.72772,0.60155,0.9224,0.94595,1.07408,0.000334628,0.000334628,0.000334628
17,286.924,1.05293,1.11873,1.1231,0.82861,0.64735,0.738,0.60793,0.90278,0.8969,1.06827,0.000325203,0.000325203,0.000325203
18,303.595,1.0363,1.09566,1.11305,0.85131,0.64859,0.74993,0.6126,0.91416,0.88823,1.06688,0.000315778,0.000315778,0.000315778
19,320.762,1.0332,1.0824,1.11342,0.87689,0.64116,0.75592,0.62555,0.89813,0.86602,1.06412,0.000306354,0.000306354,0.000306354
20,337.776,1.02848,1.04934,1.10408,0.86032,0.64337,0.76731,0.62868,0.88074,0.87543,1.05368,0.000296929,0.000296929,0.000296929
21,354.609,1.02236,1.04098,1.10351,0.86364,0.66758,0.77286,0.63926,0.88133,0.81357,1.05529,0.000287504,0.000287504,0.000287504
22,372.259,1.01597,1.01541,1.09727,0.8525,0.66466,0.76784,0.63194,0.89224,0.83569,1.05578,0.000278079,0.000278079,0.000278079
23,389.795,0.99788,1.00702,1.08622,0.88257,0.67034,0.77357,0.63691,0.89339,0.80501,1.05976,0.000268654,0.000268654,0.000268654
24,407.688,1.00149,0.99625,1.09211,0.85616,0.68561,0.77803,0.64282,0.87476,0.7896,1.0453,0.00025923,0.00025923,0.00025923
25,425.7,0.99287,0.96843,1.08951,0.864,0.69344,0.78171,0.64583,0.87649,0.76985,1.04833,0.000249805,0.000249805,0.000249805
26,444.336,0.95585,0.93766,1.07117,0.87715,0.68165,0.78576,0.64907,0.87226,0.78578,1.03853,0.00024038,0.00024038,0.00024038
27,461.469,0.99723,0.96202,1.08048,0.88408,0.69206,0.7869,0.64974,0.86762,0.76427,1.03913,0.000230955,0.000230955,0.000230955
28,478.757,0.97354,0.92228,1.07105,0.88289,0.69212,0.79969,0.6628,0.86954,0.75477,1.0399,0.00022153,0.00022153,0.00022153
29,496.925,0.97291,0.91519,1.07167,0.8782,0.67244,0.79982,0.65415,0.87989,0.7507,1.04997,0.000212106,0.000212106,0.000212106
30,514.645,0.9522,0.90738,1.07011,0.89436,0.69653,0.80167,0.66284,0.88242,0.74036,1.056,0.000202681,0.000202681,0.000202681
31,532.118,0.95072,0.89207,1.06398,0.90246,0.68116,0.80547,0.66094,0.86489,0.72849,1.03457,0.000193256,0.000193256,0.000193256
32,549.829,0.94812,0.87935,1.0591,0.87358,0.70164,0.80644,0.66181,0.86876,0.72746,1.04345,0.000183831,0.000183831,0.000183831
