epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5004,1.07079,2.04464,1.18576,0.2935,0.4199,0.34148,0.25794,0.98746,2.11883,1.2333,0.000157968,0.000157968,0.000157968
2,115.076,1.20578,1.66167,1.2723,0.33227,0.30301,0.27102,0.18478,1.25808,2.15666,1.51523,0.000310365,0.000310365,0.000310365
3,169.41,1.26234,1.67558,1.32736,0.45996,0.32923,0.36073,0.26681,1.08054,1.73702,1.31431,0.000456479,0.000456479,0.000456479
4,223.467,1.2736,1.64057,1.33335,0.42243,0.45656,0.41049,0.30542,1.05617,1.75175,1.24095,0.000447726,0.000447726,0.000447726
5,277.509,1.22471,1.50934,1.29966,0.59409,0.47581,0.51198,0.3973,1.00893,1.47868,1.20603,0.000438301,0.000438301,0.000438301
6,331.8,1.21043,1.4504,1.28469,0.60168,0.52636,0.542,0.43193,0.98701,1.38795,1.17927,0.000428876,0.000428876,0.000428876
7,385.863,1.15823,1.34174,1.24379,0.63307,0.59149,0.63451,0.50285,0.98279,1.18816,1.18636,0.000419451,0.000419451,0.000419451
8,440.072,1.12983,1.28982,1.23131,0.71748,0.60938,0.66465,0.53859,0.97579,1.07916,1.16659,0.000410026,0.000410026,0.000410026
9,494.11,1.12527,1.22167,1.22509,0.66302,0.67368,0.68059,0.55051,0.91815,1.03381,1.13125,0.000400602,0.000400602,0.000400602
10,548.168,1.11249,1.20444,1.21976,0.77057,0.64548,0.71871,0.58457,0.93103,0.92778,1.13569,0.000391177,0.000391177,0.000391177
11,602.435,1.06883,1.14597,1.18696,0.72625,0.65238,0.70459,0.56717,0.94743,0.99356,1.15516,0.000381752,0.000381752,0.000381752
12,656.964,1.07509,1.12074,1.19413,0.82671,0.6548,0.7412,0.60237,0.92393,0.92189,1.12961,0.000372327,0.000372327,0.000372327
13,711.581,1.04577,1.07846,1.18095,0.8143,0.67918,0.77594,0.62802,0.89555,0.86044,1.11946,0.000362902,0.000362902,0.000362902
14,766.343,1.05903,1.05088,1.17708,0.79192,0.71257,0.77657,0.63558,0.88519,0.82131,1.1007,0.000353478,0.000353478,0.000353478
15,820.704,1.03636,1.04622,1.17971,0.88384,0.71161,0.80259,0.66231,0.88435,0.80214,1.11384,0.000344053,0.000344053,0.000344053
16,875.185,1.01711,1.02153,1.16332,0.81252,0.7097,0.78691,0.64321,0.88467,0.79777,1.1072,0.000334628,0.000334628,0.000334628
17,929.385,1.0155,0.99305,1.1489,0.88801,0.7087,0.81092,0.66803,0.87726,0.75113,1.10652,0.000325203,0.000325203,0.000325203
18,983.991,1.00071,0.96842,1.15131,0.77123,0.76978,0.82116,0.66999,0.86908,0.73953,1.09992,0.000315778,0.000315778,0.000315778
19,1038.5,0.9881,0.95633,1.14703,0.87005,0.73305,0.81786,0.67094,0.87924,0.74038,1.09465,0.000306354,0.000306354,0.000306354
20,1092.44,0.97383,0.91361,1.13198,0.80443,0.77548,0.82116,0.67043,0.8488,0.73773,1.08726,0.000296929,0.000296929,0.000296929
21,1147.08,0.97213,0.91383,1.13489,0.82176,0.78962,0.83592,0.67681,0.88293,0.71488,1.10505,0.000287504,0.000287504,0.000287504
22,1201.24,0.96749,0.88618,1.12425,0.825,0.77392,0.82805,0.67733,0.86513,0.70427,1.0951,0.000278079,0.000278079,0.000278079
23,1255.33,0.94783,0.87736,1.11517,0.82656,0.78877,0.84005,0.68809,0.85802,0.67877,1.08277,0.000268654,0.000268654,0.000268654
24,1309.4,0.94814,0.86013,1.11762,0.87593,0.75037,0.84579,0.69194,0.85207,0.68559,1.09223,0.00025923,0.00025923,0.00025923
25,1363.28,0.93472,0.83677,1.1114,0.88148,0.75759,0.84169,0.6871,0.84891,0.68604,1.08685,0.000249805,0.000249805,0.000249805
26,1417.32,0.89763,0.81015,1.09101,0.79444,0.79927,0.86025,0.70764,0.84696,0.66613,1.08433,0.00024038,0.00024038,0.00024038
27,1471.34,0.93081,0.83014,1.09854,0.86667,0.7644,0.86239,0.7124,0.83045,0.64244,1.07747,0.000230955,0.000230955,0.000230955
28,1525.75,0.8993,0.78323,1.08146,0.88644,0.7781,0.86563,0.7095,0.84187,0.63727,1.0803,0.00022153,0.00022153,0.00022153
29,1582.02,0.90211,0.77627,1.08599,0.8722,0.76995,0.86244,0.7053,0.82548,0.63379,1.06875,0.000212106,0.000212106,0.000212106
30,1637.76,0.88275,0.77079,1.08044,0.85155,0.81739,0.87187,0.7206,0.81324,0.62637,1.06247,0.000202681,0.000202681,0.000202681
31,1692.53,0.87954,0.76374,1.07815,0.87955,0.79239,0.8675,0.71702,0.82609,0.6116,1.07151,0.000193256,0.000193256,0.000193256
32,1747.35,0.87164,0.74072,1.07048,0.86836,0.79134,0.86461,0.70795,0.8304,0.60149,1.079,0.000183831,0.000183831,0.000183831
33,1801.81,0.87134,0.72929,1.06686,0.8731,0.80897,0.87574,0.72388,0.81446,0.60144,1.06636,0.000174406,0.000174406,0.000174406
34,1856.81,0.86488,0.73647,1.0709,0.892,0.80394,0.8762,0.72378,0.80801,0.59162,1.06495,0.000164982,0.000164982,0.000164982
35,1911.54,0.84477,0.71379,1.05988,0.88561,0.81614,0.88086,0.72512,0.80862,0.57963,1.06058,0.000155557,0.000155557,0.000155557
