epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2428,1.21207,3.37438,1.22027,0.2592,0.33856,0.20155,0.14744,1.02062,2.28685,1.17564,0.000157968,0.000157968,0.000157968
2,41.2556,1.21207,2.28008,1.21433,0.35857,0.3652,0.29776,0.22618,1.01811,1.92643,1.14052,0.000300961,0.000300961,0.000300961
3,59.8,1.2006,2.07589,1.20934,0.34859,0.37482,0.33816,0.26071,1.00781,2.01082,1.17029,0.000428246,0.000428246,0.000428246
4,78.1519,1.1913,1.92903,1.19999,0.4519,0.51316,0.44848,0.35275,1.00064,1.61556,1.14214,0.000405314,0.000405314,0.000405314
5,96.3655,1.16516,1.76858,1.18825,0.52208,0.48386,0.50346,0.40333,0.95339,1.45091,1.10507,0.000381752,0.000381752,0.000381752
6,114.697,1.1665,1.62724,1.18214,0.59455,0.51861,0.56371,0.45923,0.95864,1.34024,1.11147,0.00035819,0.00035819,0.00035819
7,132.731,1.12222,1.5278,1.15692,0.62377,0.55351,0.60429,0.49336,0.94161,1.26304,1.09854,0.000334628,0.000334628,0.000334628
8,151.078,1.0976,1.43344,1.14798,0.68534,0.57077,0.63159,0.52088,0.93256,1.13624,1.07963,0.000311066,0.000311066,0.000311066
9,169.377,1.09257,1.35347,1.13913,0.699,0.58316,0.66323,0.5488,0.91185,1.06119,1.07407,0.000287504,0.000287504,0.000287504
10,187.709,1.08536,1.32399,1.13813,0.71424,0.58622,0.65384,0.53274,0.91587,1.13408,1.07938,0.000263942,0.000263942,0.000263942
11,217.052,1.05283,1.25729,1.11391,0.80733,0.6185,0.73345,0.60109,0.89892,0.98873,1.06132,0.00024038,0.00024038,0.00024038
12,235.244,1.03882,1.1429,1.10084,0.85773,0.61938,0.73757,0.61255,0.87926,0.91242,1.05307,0.000216818,0.000216818,0.000216818
13,253.138,1.02126,1.08629,1.09528,0.84642,0.63571,0.74235,0.61334,0.88645,0.88342,1.05661,0.000193256,0.000193256,0.000193256
14,271.452,1.00452,1.02343,1.07553,0.85443,0.64269,0.75054,0.61915,0.88453,0.86446,1.05344,0.000169694,0.000169694,0.000169694
15,289.573,0.9924,0.98183,1.07364,0.85894,0.65792,0.75958,0.63234,0.86244,0.83656,1.03853,0.000146132,0.000146132,0.000146132
16,307.425,0.97259,0.93994,1.05945,0.87231,0.66786,0.76766,0.63682,0.86147,0.8156,1.03357,0.00012257,0.00012257,0.00012257
17,325.702,0.95626,0.90551,1.05632,0.86733,0.68922,0.77526,0.64229,0.85506,0.78614,1.03,9.9008e-05,9.9008e-05,9.9008e-05
18,343.541,0.94305,0.86912,1.0418,0.87263,0.68042,0.77203,0.64514,0.84224,0.779,1.02886,7.5446e-05,7.5446e-05,7.5446e-05
19,361.604,0.93342,0.85143,1.03365,0.84617,0.68864,0.77736,0.64808,0.83867,0.77139,1.02646,5.1884e-05,5.1884e-05,5.1884e-05
20,379.546,0.91037,0.83529,1.0305,0.8854,0.67841,0.7819,0.65384,0.82702,0.75781,1.01834,2.8322e-05,2.8322e-05,2.8322e-05
