epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8699,1.07242,2.05501,1.16159,0.38455,0.39077,0.29702,0.2127,1.04087,1.79825,1.23797,0.000157968,0.000157968,0.000157968
2,91.9366,1.17495,1.62019,1.23208,0.32547,0.38814,0.30824,0.20693,1.20334,1.86723,1.35535,0.000310365,0.000310365,0.000310365
3,136.552,1.22965,1.62715,1.27697,0.47603,0.41231,0.37087,0.27621,1.09361,1.64874,1.28007,0.000456479,0.000456479,0.000456479
4,180.383,1.23966,1.61734,1.28878,0.40365,0.44669,0.39661,0.28781,1.13359,1.78266,1.30364,0.000447726,0.000447726,0.000447726
5,223.196,1.20475,1.50663,1.26776,0.54878,0.46917,0.49004,0.37276,1.02319,1.49171,1.20998,0.000438301,0.000438301,0.000438301
6,265.982,1.18662,1.42492,1.25367,0.55686,0.5011,0.54744,0.42946,0.99114,1.44904,1.17508,0.000428876,0.000428876,0.000428876
7,309.01,1.15108,1.33081,1.2261,0.71026,0.54174,0.60329,0.47663,0.97789,1.27668,1.1714,0.000419451,0.000419451,0.000419451
8,351.788,1.12437,1.28217,1.22158,0.72467,0.58518,0.64744,0.52112,0.97877,1.10178,1.17614,0.000410026,0.000410026,0.000410026
9,394.957,1.11964,1.22286,1.20199,0.78889,0.63698,0.70877,0.57829,0.95702,0.99915,1.15788,0.000400602,0.000400602,0.000400602
10,438.061,1.09897,1.19886,1.19814,0.76013,0.63928,0.7131,0.58101,0.94377,0.97228,1.14291,0.000391177,0.000391177,0.000391177
11,481.473,1.0652,1.13192,1.17211,0.7905,0.65727,0.7468,0.60518,0.93074,0.94004,1.12498,0.000381752,0.000381752,0.000381752
12,524.861,1.06883,1.10654,1.17833,0.80763,0.67801,0.77105,0.62427,0.92355,0.90888,1.12771,0.000372327,0.000372327,0.000372327
13,567.889,1.03858,1.06988,1.16155,0.8035,0.68395,0.77548,0.62869,0.90473,0.86226,1.12,0.000362902,0.000362902,0.000362902
14,610.93,1.05608,1.0515,1.16213,0.81496,0.71341,0.80966,0.66492,0.88807,0.81454,1.11282,0.000353478,0.000353478,0.000353478
